Area,AreaName,CityName,RecordCount
6600001,Guam MSA,Guam MSA,350
41980,"San Juan-Bayamon-Caguas, PR",San Juan-Bayamon-Caguas,280
12060,"Atlanta-Sandy Springs-Roswell, GA",Atlanta-Sandy Springs-Roswell,203
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Washington-Arlington-Alexandria,161
35620,"New York-Newark-Jersey City, NY-NJ",New York-Newark-Jersey City,154
47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC",Virginia Beach-Chesapeake-Norfolk,126
40060,"Richmond, VA",Richmond,119
17140,"Cincinnati, OH-KY-IN",Cincinnati,105
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Minneapolis-St. Paul-Bloomington,105
41180,"St. Louis, MO-IL",St. Louis,105
28140,"Kansas City, MO-KS",Kansas City,98
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Nashville-Davidson--Murfreesboro--Franklin,98
16980,"Chicago-Naperville-Elgin, IL-IN",Chicago-Naperville-Elgin,91
31140,"Louisville/Jefferson County, KY-IN",Louisville/Jefferson County,84
16740,"Charlotte-Concord-Gastonia, NC-SC",Charlotte-Concord-Gastonia,77
19100,"Dallas-Fort Worth-Arlington, TX",Dallas-Fort Worth-Arlington,77
26900,"Indianapolis-Carmel-Greenwood, IN",Indianapolis-Carmel-Greenwood,77
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia-Camden-Wilmington,77
12940,"Baton Rouge, LA",Baton Rouge,70
18140,"Columbus, OH",Columbus,70
19740,"Denver-Aurora-Centennial, CO",Denver-Aurora-Centennial,70
26420,"Houston-Pasadena-The Woodlands, TX",Houston-Pasadena-The Woodlands,70
28940,"Knoxville, TN",Knoxville,63
32820,"Memphis, TN-MS-AR",Memphis,63
26580,"Huntington-Ashland, WV-KY-OH",Huntington-Ashland,56
27140,"Jackson, MS",Jackson,56
36540,"Omaha, NE-IA",Omaha,56
38300,"Pittsburgh, PA",Pittsburgh,56
41700,"San Antonio-New Braunfels, TX",San Antonio-New Braunfels,56
10380,"Aguadilla, PR",Aguadilla,49
12260,"Augusta-Richmond County, GA-SC",Augusta-Richmond County,49
12580,"Baltimore-Columbia-Towson, MD",Baltimore-Columbia-Towson,49
13820,"Birmingham, AL",Birmingham,49
14460,"Boston-Cambridge-Newton, MA-NH",Boston-Cambridge-Newton,49
17980,"Columbus, GA-AL",Columbus,49
35380,"New Orleans-Metairie, LA",New Orleans-Metairie,49
36420,"Oklahoma City, OK",Oklahoma City,49
38900,"Portland-Vancouver-Hillsboro, OR-WA",Portland-Vancouver-Hillsboro,49
46140,"Tulsa, OK",Tulsa,49
16860,"Chattanooga, TN-GA",Chattanooga,42
17410,"Cleveland, OH",Cleveland,42
17900,"Columbia, SC",Columbia,42
19780,"Des Moines-West Des Moines, IA",Des Moines-West Des Moines,42
19820,"Detroit-Warren-Dearborn, MI",Detroit-Warren-Dearborn,42
30460,"Lexington-Fayette, KY",Lexington-Fayette,42
30780,"Little Rock-North Little Rock-Conway, AR",Little Rock-North Little Rock-Conway,42
31180,"Lubbock, TX",Lubbock,42
32420,"Mayaguez, PR",Mayaguez,42
38660,"Ponce, PR",Ponce,42
39300,"Providence-Warwick, RI-MA",Providence-Warwick,42
40220,"Roanoke, VA",Roanoke,42
10580,"Albany-Schenectady-Troy, NY",Albany-Schenectady-Troy,35
11100,"Amarillo, TX",Amarillo,35
12420,"Austin-Round Rock-San Marcos, TX",Austin-Round Rock-San Marcos,35
13980,"Blacksburg-Christiansburg-Radford, VA",Blacksburg-Christiansburg-Radford,35
14260,"Boise City, ID",Boise City,35
16820,"Charlottesville, VA",Charlottesville,35
24340,"Grand Rapids-Wyoming-Kentwood, MI",Grand Rapids-Wyoming-Kentwood,35
27260,"Jacksonville, FL",Jacksonville,35
28700,"Kingsport-Bristol, TN-VA",Kingsport-Bristol,35
31340,"Lynchburg, VA",Lynchburg,35
31420,"Macon-Bibb County, GA",Macon-Bibb County,35
37140,"Paducah, KY-IL",Paducah,35
37900,"Peoria, IL",Peoria,35
40380,"Rochester, NY",Rochester,35
41860,"San Francisco-Oakland-Fremont, CA",San Francisco-Oakland-Fremont,35
43620,"Sioux Falls, SD-MN",Sioux Falls,35
44180,"Springfield, MO",Springfield,35
45820,"Topeka, KS",Topeka,35
49180,"Winston-Salem, NC",Winston-Salem,35
10500,"Albany, GA",Albany,28
10740,"Albuquerque, NM",Albuquerque,28
10900,"Allentown-Bethlehem-Easton, PA-NJ",Allentown-Bethlehem-Easton,28
11640,"Arecibo, PR",Arecibo,28
12020,"Athens-Clarke County, GA",Athens-Clarke County,28
14540,"Bowling Green, KY",Bowling Green,28
17300,"Clarksville, TN-KY",Clarksville,28
19340,"Davenport-Moline-Rock Island, IA-IL",Davenport-Moline-Rock Island,28
20500,"Durham-Chapel Hill, NC",Durham-Chapel Hill,28
24860,"Greenville-Anderson-Greer, SC",Greenville-Anderson-Greer,28
25060,"Gulfport-Biloxi, MS",Gulfport-Biloxi,28
25860,"Hickory-Lenoir-Morganton, NC",Hickory-Lenoir-Morganton,28
27180,"Jackson, TN",Jackson,28
27620,"Jefferson City, MO",Jefferson City,28
29180,"Lafayette, LA",Lafayette,28
29200,"Lafayette-West Lafayette, IN",Lafayette-West Lafayette,28
30980,"Longview, TX",Longview,28
31540,"Madison, WI",Madison,28
33340,"Milwaukee-Waukesha, WI",Milwaukee-Waukesha,28
33740,"Monroe, LA",Monroe,28
33860,"Montgomery, AL",Montgomery,28
36740,"Orlando-Kissimmee-Sanford, FL",Orlando-Kissimmee-Sanford,28
40340,"Rochester, MN",Rochester,28
40900,"Sacramento-Roseville-Folsom, CA",Sacramento-Roseville-Folsom,28
41140,"St. Joseph, MO-KS",St. Joseph,28
45220,"Tallahassee, FL",Tallahassee,28
45300,"Tampa-St. Petersburg-Clearwater, FL",Tampa-St. Petersburg-Clearwater,28
45460,"Terre Haute, IN",Terre Haute,28
45900,"Traverse City, MI",Traverse City,28
46220,"Tuscaloosa, AL",Tuscaloosa,28
46660,"Valdosta, GA",Valdosta,28
48620,"Wichita, KS",Wichita,28
10180,"Abilene, TX",Abilene,21
11700,"Asheville, NC",Asheville,21
13140,"Beaumont-Port Arthur, TX",Beaumont-Port Arthur,21
13460,"Bend, OR",Bend,21
13740,"Billings, MT",Billings,21
13900,"Bismarck, ND",Bismarck,21
15260,"Brunswick-St. Simons, GA",Brunswick-St. Simons,21
15540,"Burlington-South Burlington, VT",Burlington-South Burlington,21
16020,"Cape Girardeau, MO-IL",Cape Girardeau,21
16300,"Cedar Rapids, IA",Cedar Rapids,21
16580,"Champaign-Urbana, IL",Champaign-Urbana,21
16620,"Charleston, WV",Charleston,21
16700,"Charleston-North Charleston, SC",Charleston-North Charleston,21
17780,"College Station-Bryan, TX",College Station-Bryan,21
17860,"Columbia, MO",Columbia,21
18580,"Corpus Christi, TX",Corpus Christi,21
19430,"Dayton-Kettering-Beavercreek, OH",Dayton-Kettering-Beavercreek,21
20020,"Dothan, AL",Dothan,21
20260,"Duluth, MN-WI",Duluth,21
21780,"Evansville, IN",Evansville,21
22220,"Fayetteville-Springdale-Rogers, AR",Fayetteville-Springdale-Rogers,21
22900,"Fort Smith, AR-OK",Fort Smith,21
23060,"Fort Wayne, IN",Fort Wayne,21
23540,"Gainesville, FL",Gainesville,21
24260,"Grand Island, NE",Grand Island,21
24580,"Green Bay, WI",Green Bay,21
24660,"Greensboro-High Point, NC",Greensboro-High Point,21
25020,"Guayama, PR",Guayama,21
25180,"Hagerstown-Martinsburg, MD-WV",Hagerstown-Martinsburg,21
25420,"Harrisburg-Carlisle, PA",Harrisburg-Carlisle,21
25620,"Hattiesburg, MS",Hattiesburg,21
25740,"Helena, MT",Helena,21
26820,"Idaho Falls, ID",Idaho Falls,21
27740,"Johnson City, TN",Johnson City,21
27900,"Joplin, MO-KS",Joplin,21
28660,"Killeen-Temple, TX",Killeen-Temple,21
29100,"La Crosse-Onalaska, WI-MN",La Crosse-Onalaska,21
29340,"Lake Charles, LA",Lake Charles,21
29620,"Lansing-East Lansing, MI",Lansing-East Lansing,21
31740,"Manhattan, KS",Manhattan,21
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Miami-Fort Lauderdale-West Palm Beach,21
33500,"Minot, ND",Minot,21
36260,"Ogden, UT",Ogden,21
38860,"Portland-South Portland, ME",Portland-South Portland,21
39580,"Raleigh-Cary, NC",Raleigh-Cary,21
39660,"Rapid City, SD",Rapid City,21
39900,"Reno, NV",Reno,21
42340,"Savannah, GA",Savannah,21
42540,"Scranton--Wilkes-Barre, PA",Scranton--Wilkes-Barre,21
42660,"Seattle-Tacoma-Bellevue, WA",Seattle-Tacoma-Bellevue,21
43340,"Shreveport-Bossier City, LA",Shreveport-Bossier City,21
43580,"Sioux City, IA-NE-SD",Sioux City,21
44420,"Staunton-Stuarts Draft, VA",Staunton-Stuarts Draft,21
45060,"Syracuse, NY",Syracuse,21
45500,"Texarkana, TX-AR",Texarkana,21
45780,"Toledo, OH",Toledo,21
47380,"Waco, TX",Waco,21
47940,"Waterloo-Cedar Falls, IA",Waterloo-Cedar Falls,21
48260,"Weirton-Steubenville, WV-OH",Weirton-Steubenville,21
48540,"Wheeling, WV-OH",Wheeling,21
48660,"Wichita Falls, TX",Wichita Falls,21
48900,"Wilmington, NC",Wilmington,21
49020,"Winchester, VA-WV",Winchester,21
7800001,U.S. Virgin Islands MSA,U.S. Virgin Islands MSA,21
10420,"Akron, OH",Akron,14
10780,"Alexandria, LA",Alexandria,14
11180,"Ames, IA",Ames,14
11260,"Anchorage, AK",Anchorage,14
11540,"Appleton, WI",Appleton,14
12100,"Atlantic City-Hammonton, NJ",Atlantic City-Hammonton,14
12220,"Auburn-Opelika, AL",Auburn-Opelika,14
13220,"Beckley, WV",Beckley,14
13780,"Binghamton, NY",Binghamton,14
14020,"Bloomington, IN",Bloomington,14
14860,"Bridgeport-Stamford-Danbury, CT",Bridgeport-Stamford-Danbury,14
15380,"Buffalo-Cheektowaga, NY",Buffalo-Cheektowaga,14
15940,"Canton-Massillon, OH",Canton-Massillon,14
17420,"Cleveland, TN",Cleveland,14
17820,"Colorado Springs, CO",Colorado Springs,14
18880,"Crestview-Fort Walton Beach-Destin, FL",Crestview-Fort Walton Beach-Destin,14
19140,"Dalton, GA",Dalton,14
19460,"Decatur, AL",Decatur,14
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Deltona-Daytona Beach-Ormond Beach,14
20740,"Eau Claire, WI",Eau Claire,14
21060,"Elizabethtown, KY",Elizabethtown,14
21340,"El Paso, TX",El Paso,14
22020,"Fargo, ND-MN",Fargo,14
22180,"Fayetteville, NC",Fayetteville,14
22500,"Florence, SC",Florence,14
22520,"Florence-Muscle Shoals, AL",Florence-Muscle Shoals,14
23420,"Fresno, CA",Fresno,14
24020,"Glens Falls, NY",Glens Falls,14
24220,"Grand Forks, ND-MN",Grand Forks,14
25500,"Harrisonburg, VA",Harrisonburg,14
25540,"Hartford-West Hartford-East Hartford, CT",Hartford-West Hartford-East Hartford,14
25940,"Hilton Head Island-Bluffton-Port Royal, SC",Hilton Head Island-Bluffton-Port Royal,14
25980,"Hinesville, GA",Hinesville,14
26380,"Houma-Bayou Cane-Thibodaux, LA",Houma-Bayou Cane-Thibodaux,14
